indicator,date,rate
close,2021-01-22 15:37:00,19.54
open,2021-01-22 15:36:00,19.5499
high,2021-01-22 15:36:00,19.55
low,2021-01-22 15:36:00,19.545
close,2021-01-22 15:36:00,19.545
open,2021-01-22 15:35:00,19.52
high,2021-01-22 15:35:00,19.55
low,2021-01-22 15:35:00,19.52
close,2021-01-22 15:35:00,19.545
open,2021-01-22 15:34:00,19.525
high,2021-01-22 15:34:00,19.53
low,2021-01-22 15:34:00,19.52
close,2021-01-22 15:34:00,19.53
open,2021-01-22 15:33:00,19.523
high,2021-01-22 15:33:00,19.528
low,2021-01-22 15:33:00,19.52
close,2021-01-22 15:33:00,19.525
open,2021-01-22 15:32:00,19.535
high,2021-01-22 15:32:00,19.535
low,2021-01-22 15:32:00,19.52
close,2021-01-22 15:32:00,19.52
open,2021-01-22 15:31:00,19.53
high,2021-01-22 15:31:00,19.535
low,2021-01-22 15:31:00,19.53
close,2021-01-22 15:31:00,19.53
open,2021-01-22 15:30:00,19.54
high,2021-01-22 15:30:00,19.54
low,2021-01-22 15:30:00,19.53
close,2021-01-22 15:30:00,19.53
open,2021-01-22 15:29:00,19.54
high,2021-01-22 15:29:00,19.55
low,2021-01-22 15:29:00,19.54
close,2021-01-22 15:29:00,19.545
